iter	Passed	Remaining
834	14038	2773
835	14039	2754
836	14042	2734
837	14054	2716
838	14070	2700
839	14074	2680
840	14083	2662
841	14085	2643
842	14086	2623
843	14088	2604
844	14090	2584
845	14098	2566
846	14100	2547
847	14103	2527
848	14105	2508
849	14106	2489
850	14115	2471
851	14117	2452
852	14119	2433
853	14120	2414
854	14122	2395
855	14134	2377
856	14136	2358
857	14138	2339
858	14149	2322
859	14153	2304
860	14181	2289
861	14187	2271
862	14190	2252
863	14194	2234
864	14237	2222
865	14241	2203
866	14243	2185
867	14256	2168
868	14258	2149
869	14260	2130
870	14262	2112
871	14289	2097
872	14290	2078
873	14293	2060
874	14301	2043
875	14305	2025
876	14307	2006
877	14309	1988
878	14318	1971
879	14321	1952
880	14323	1934
881	14326	1916
882	14337	1899
883	14340	1881
884	14351	1864
885	14354	1846
886	14356	1828
887	14357	1810
888	14369	1794
889	14372	1776
890	14374	1758
891	14390	1742
892	14402	1725
893	14404	1707
894	14405	1690
895	14420	1673
896	14422	1656
897	14433	1639
898	14437	1622
899	14500	1611
900	14502	1593
901	14503	1575
902	14505	1558
903	14515	1541
904	14517	1523
905	14519	1506
906	14520	1488
907	14531	1472
908	14533	1454
909	14535	1437
910	14536	1420
911	14545	1403
912	14547	1386
913	14549	1368
914	14550	1351
915	14552	1334
916	14561	1317
917	14563	1300
918	14564	1283
919	14566	1266
920	14568	1249
921	14578	1233
922	14581	1216
923	14584	1199
924	14595	1183
925	14597	1166
926	14599	1149
927	14600	1132
928	14610	1116
929	14612	1099
930	14615	1083
931	14617	1066
932	14620	1049
933	14623	1033
934	14626	1016
935	14628	1000
936	14636	984
937	14638	967
938	14640	951
939	14641	934
940	14643	918
941	14651	902
942	14653	885
943	14654	869
944	14656	853
945	14658	836
946	14667	820
947	14668	804
948	14670	788
949	14672	772
950	14674	756
951	14681	740
952	14683	724
953	14720	709
954	14731	694
955	14733	678
956	14735	662
957	14737	646
958	14738	630
959	14746	614
960	14748	598
961	14749	582
962	14751	566
963	14753	550
964	14755	535
965	14762	519
966	14763	503
967	14765	488
968	14767	472
969	14768	456
970	14771	441
971	14774	425
972	14776	410
973	14778	394
974	14791	379
975	14793	363
976	14795	348
977	14802	332
978	14804	317
979	14806	302
980	14808	286
981	14810	271
982	14818	256
983	14820	240
984	14822	225
985	14823	210
986	14826	195
987	14835	180
988	14836	165
989	14838	149
990	14841	134
991	14843	119
992	14850	104
993	14852	89
994	14854	74
995	14855	59
996	14857	44
997	14864	29
998	14866	14
999	14868	0
